,principal component 1,principal component 2,artists
494,0.657546946,1.953120768,Frank Sinatra
495,-2.766014551,2.373578381,The Rolling Stones
496,-0.242341438,0.52424732,Elvis Presley
497,-1.665158187,1.043230285,Led Zeppelin
498,1.033717066,0.430262008,Bob Dylan
499,-1.585440071,2.991673208,The Rolling Stones
500,0.337099475,1.788631233,Elvis Presley
501,0.774223174,-0.251316344,Bob Dylan
502,-2.001192531,2.24185056,The Rolling Stones
503,2.004057716,-0.836968622,Bob Dylan
504,-2.604491231,1.973322558,The Rolling Stones
505,1.628774994,0.739753476,Led Zeppelin
506,1.392188965,-0.912812107,Johnny Cash
507,-3.174398879,-0.386390581,The Rolling Stones
508,2.470220174,0.62721912,Bob Dylan
509,-2.400613025,0.184397068,The Rolling Stones
510,-0.223331506,-0.35438794,The Rolling Stones
511,1.183718065,1.109040474,Bob Dylan
512,-0.86451139,-0.530285124,Led Zeppelin
513,2.742959905,0.559114211,Bob Dylan
514,2.482954154,1.73231902,Led Zeppelin
515,2.053236456,1.105900294,Bob Dylan
516,0.133009858,-0.431334614,Frank Sinatra
517,1.752759262,0.90457463,Elvis Presley
518,-2.549846697,0.980150208,The Rolling Stones
519,-0.551131825,0.342887662,The Rolling Stones
520,-1.944552013,3.378950504,Bob Dylan
521,0.409060366,-0.824938438,Elvis Presley
522,-2.654296846,2.231027369,Bob Dylan
523,-1.443845706,0.143840091,Bob Dylan
524,-1.318322237,1.171973136,Bob Dylan
525,1.246229989,-0.396147947,Elvis Presley
526,0.180906354,0.553608762,Bob Dylan
527,-0.352308231,1.923688481,Bob Dylan
528,0.530945806,2.202998672,Bob Dylan
529,0.363410211,-0.546639902,Led Zeppelin
530,-0.019522376,0.229987277,Led Zeppelin
531,-1.237258406,0.346526987,Bob Dylan
532,0.004202517,-0.2985934,Led Zeppelin
533,0.320625097,0.022150258,Elvis Presley
534,-0.479552787,-0.736752594,Bob Dylan
535,0.206751633,0.64806552,Bob Dylan
536,-2.536670116,-0.431528198,The Rolling Stones
537,-2.782430998,2.191715167,The Rolling Stones
538,-1.865667877,1.144016191,Led Zeppelin
539,-1.756068491,1.640685973,Led Zeppelin
540,-1.166511777,-0.720179572,Bob Dylan
541,-2.698408821,0.373654192,The Rolling Stones
542,0.119192737,-1.209414457,Bob Dylan
543,-0.942670715,-0.331999655,The Beatles
544,0.794413387,-0.150252413,The Beatles
545,0.114878506,0.207222632,The Rolling Stones
546,2.787549821,-1.05769834,Johnny Cash
547,-1.238595109,-1.273770024,Eminem
548,-1.271075415,-0.150016451,Eminem
549,-1.564675906,-0.367998821,Elvis Presley
550,-1.336758678,-0.012926061,Eminem
551,1.885218696,0.222051438,Led Zeppelin
552,-1.341943774,1.643578728,Led Zeppelin
553,0.419413289,0.661547095,Led Zeppelin
554,0.42413405,0.204766444,Johnny Cash
555,-0.631119894,-0.903294806,Johnny Cash
556,-1.397022893,0.276991992,The Beatles
557,0.410688888,-0.653863313,Drake
558,-0.227157429,-0.454493964,Drake
559,-2.960739811,0.127817976,Eminem
560,3.769789678,0.85276907,Frank Sinatra
561,0.969662244,-1.822745381,Johnny Cash
562,3.640685862,0.486484561,Frank Sinatra
563,0.31769734,0.371406818,Johnny Cash
564,-0.807030696,-0.9985245,Johnny Cash
565,-0.231769157,-0.997523723,Johnny Cash
566,2.937142982,0.116948444,Frank Sinatra
567,0.271513633,-1.431420054,Johnny Cash
568,-0.536896881,-1.806104465,Johnny Cash
569,1.432400857,-0.423372276,Johnny Cash
570,-0.424893472,-1.75081477,Johnny Cash
571,2.434703386,1.551279291,Frank Sinatra
572,-0.026073864,-1.20291027,Johnny Cash
573,-0.302623157,-2.271578494,Johnny Cash
574,1.92313198,-0.497948204,Johnny Cash
575,3.519254957,0.459239312,Frank Sinatra
576,2.298949666,0.813615037,Frank Sinatra
577,2.15032134,-0.900337071,Bob Dylan
578,0.904821912,-0.924668273,The Beach Boys
579,1.309913084,-2.018363966,Bob Dylan
580,-0.464412736,-0.204672256,The Beach Boys
581,3.327418484,0.696916113,Bob Dylan
582,-0.511105302,-0.566585373,The Beach Boys
583,2.104554122,-1.387701675,Bob Dylan
584,1.211822635,-1.585628524,Bob Dylan
585,3.972688816,0.266110318,Frank Sinatra
586,-1.915163033,-1.502198814,The Beach Boys
587,2.477819044,-0.38474474,Bob Dylan
588,-0.417725959,-0.287425928,Elvis Presley
589,1.47969563,-1.207317887,Bob Dylan
590,-1.894036118,0.889104916,The Beach Boys
591,1.841420758,-1.209512389,Johnny Cash
592,-0.465365538,1.289634117,The Beach Boys
593,-0.857125264,-0.62128236,The Beach Boys
594,-0.603105337,-1.536508445,Elvis Presley
595,-1.142798719,0.182289525,The Beach Boys
596,-2.300098091,0.285647264,The Rolling Stones
597,-0.386319155,-0.263289725,Elvis Presley
598,-0.817573837,-1.482134503,Elvis Presley
599,1.850063317,-0.630364302,Bob Dylan
